company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5y_pct,pat_cagr_5y_pct,eps_cagr_5yr,composite_quality_score,broad_sector_x,company_name,broad_sector_y,sub_sector,fiscal_year,previous_debt_to_equity,de_ratio_declining,revenue_cagr_3y_pct,peer_group_name,is_benchmark,score_roe,score_roce,score_margin,score_revenue_growth,score_profit_growth,score_debt,score_fcf,score_fcf_yield,score_pe,score_pb,composite_score,debt_free_flag,fcf_positive_flag,peer_score_roe,peer_score_margin,peer_score_revenue_growth,peer_score_profit_growth,peer_score_debt,peer_score_fcf,peer_composite_score,peer_group_size
HCLTECH,Sep 2024,,,0.0,0.08407985480943739,,0.0,0.0,,,254.0,,5791.0,0.0,-100.0,-100.0,,,Information Technology,HCL Technologies Ltd,Information Technology,IT Services,2024,0.08435023365512796,True,13.396477329776978,IT Services,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,65.34653465346535,46.53465346534654,50,50,50,47.75751020480199,False,True,100.0,50.0,100.0,100.0,60.0,100.0,88.0,5.0
TCS,Sep 2024,,,0.0,0.08912754322873047,,0.0,0.0,,,281.0,,9046.0,0.0,-100.0,-100.0,,,Information Technology,Tata Consultancy Services Ltd,Information Technology,IT Services,2024,0.0886406082507266,False,13.632864555506409,IT Services,True,42.857142857142854,50,,41.91919191919192,42.35294117647059,64.35643564356435,46.53465346534654,50,50,50,47.658500303811884,False,True,100.0,50.0,100.0,100.0,40.0,100.0,85.33333333333333,5.0
NESTLEIND,Sep 2024,,,0.0,0.09273182957393483,,0.0,0.0,,,41.0,,370.0,0.0,-100.0,-100.0,,,Consumer Staples,Nestle India Ltd,Consumer Staples,Food Products,2024,0.10329341317365268,True,18.282008662499027,FMCG,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,63.366336633663366,46.53465346534654,50,50,50,47.55949040282179,False,True,100.0,50.0,100.0,100.0,57.14285714285714,100.0,87.61904761904763,7.0
INFY,Sep 2024,,,0.0,0.09732155687960824,,0.0,0.0,,,218.0,,8804.0,0.0,-100.0,-100.0,,,Information Technology,Infosys Ltd,Information Technology,IT Services,2024,0.09486358890553362,False,15.216500798806365,IT Services,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,62.37623762376238,46.53465346534654,50,50,50,47.46048050183169,False,True,100.0,50.0,100.0,100.0,19.999999999999996,100.0,82.66666666666667,5.0
JINDALSTEL,Sep 2024,,,0.0,0.3647155742379755,,0.0,0.0,,,464.0,,17266.0,0.0,-100.0,,,,Materials,Jindal Steel & Power Ltd,Materials,Steel,2024,0.3716941962270963,True,13.346256701428505,Steel,False,42.857142857142854,50,,41.91919191919192,,49.504950495049506,46.53465346534654,50,50,50,47.320410612489816,False,True,100.0,50.0,100.0,50.0,75.0,100.0,80.0,4.0
LT,Sep 2024,,,0.0,0.11036773428232503,,0.0,0.0,,,635.0,,2326.0,0.0,-100.0,-100.0,,,Industrials,Larsen & Toubro Ltd,Industrials,Engineering & Construction,2024,0.10345688880007993,False,17.592821624288746,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,59.900990099009896,46.53465346534654,50,50,50,47.21295574935644,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
LTIM,Sep 2024,,,0.0,0.11036773428232503,,0.0,0.0,,,711.0,,2326.0,0.0,-100.0,-100.0,,,Information Technology,LTIMindtree Ltd,Information Technology,IT Services,2024,0.10345688880007993,False,42.13101535214459,IT Services,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,59.900990099009896,46.53465346534654,50,50,50,47.21295574935644,False,True,100.0,50.0,100.0,100.0,0.0,100.0,80.0,5.0
BHEL,Sep 2024,,,0.0,0.3772056696557709,,0.0,0.0,,,70.0,,9128.0,0.0,-100.0,,,,Industrials,"Bharat Heavy Electricals Limited
",Industrials,Capital Goods,2024,0.3623864473361159,False,11.343850250620191,,,42.857142857142854,50,,41.91919191919192,,47.524752475247524,46.53465346534654,50,50,50,47.122390810509614,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
ASIANPAINT,Sep 2024,,,0.0,0.13959165557035064,,0.0,0.0,,,188.0,,2516.0,0.0,-100.0,-100.0,,,Materials,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Paints & Coatings,2024,0.13959165557035064,False,17.801037676951047,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,58.41584158415842,46.53465346534654,50,50,50,47.06444089787129,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
TATACONSUM,Sep 2024,,,0.0,0.15445327200501774,,0.0,0.0,,,193.0,,2955.0,0.0,-100.0,-100.0,,,Consumer Staples,Tata Consumer Products Ltd,Consumer Staples,Food & Beverages,2024,0.21654107242947,True,9.436125385661253,FMCG,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,57.425742574257434,46.53465346534654,50,50,50,46.965430996881196,False,True,100.0,50.0,100.0,100.0,42.85714285714286,100.0,85.71428571428571,7.0
DRREDDY,Sep 2024,,,0.0,0.15785879215584248,,0.0,0.0,,,369.0,,4854.0,0.0,-100.0,-100.0,,,Healthcare,Dr Reddys Laboratories Ltd,Healthcare,Pharmaceuticals,2024,0.07085722375592836,False,13.71726615103832,Pharmaceuticals,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,56.43564356435644,46.53465346534654,50,50,50,46.8664210958911,False,True,100.0,50.0,100.0,100.0,19.999999999999996,100.0,82.66666666666667,5.0
DABUR,Sep 2024,,,0.0,0.1690793283149971,,0.0,0.0,,,59.0,,1752.0,0.0,-100.0,-100.0,,,Consumer Staples,Dabur India Ltd,Consumer Staples,Personal Products,2024,0.13835394283397526,False,9.061384362071356,FMCG,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,55.44554455445545,46.53465346534654,50,50,50,46.767411194900994,False,True,100.0,50.0,100.0,100.0,28.57142857142857,100.0,83.80952380952381,7.0
BAJAJ-AUTO,Sep 2024,,,0.0,0.16930824106652895,,0.0,0.0,,,1109.0,,5245.0,0.0,-100.0,-100.0,,,Consumer Discretionary,Bajaj Auto Ltd,Consumer Discretionary,Two Wheelers,2024,0.06601754022512257,False,17.384652616671946,Automobiles,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,54.45544554455446,46.53465346534654,50,50,50,46.6684012939109,False,True,100.0,50.0,100.0,100.0,42.85714285714286,100.0,85.71428571428571,7.0
GAIL,Sep 2024,,,0.0,0.2342469185886957,,0.0,0.0,,,127.0,,19632.0,0.0,-100.0,-100.0,,,Energy,GAIL (India) Ltd,Energy,Gas Distribution,2024,0.28304998896060884,True,32.42353373080278,Oil & Gas,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,53.46534653465347,46.53465346534654,50,50,50,46.5693913929208,False,True,100.0,50.0,100.0,100.0,80.0,100.0,90.66666666666667,5.0
